objective,matrix_type,density,N,method,time,obj,ratio
max,known,,5,mms,0.0741457475,9945.5,0.9419275354202834
max,known,,10,mms,0.8156179415,78180.5,0.7128157250318241
max,known,,15,mms,9.147652628,75173.0,0.7499126258610194
max,known,,20,mms,76.90932082,153752.5,0.7334346789476077
max,known,,25,mms,600.9482155065,396552.0,0.7560127913267869
