objective,matrix_type,density,N,method,time,obj,ratio
max,known,,5,ns,0.10717362450000001,8572.0,0.9258713136729222
max,known,,10,ns,6.471749943000001,71237.5,0.7802216676016591
max,known,,15,ns,79.7950929615,249840.0,0.7800719082550769
max,known,,20,ns,500.06151821049997,480764.5,0.7731621451136911
max,known,,25,ns,1932.1197390430002,284943.0,0.7744593799192648
